Nombre,Tipo,CVE_MUN,Latitud,Longitud
"LA CANDELARIA","BARRIO","019",255819.610700,1778399.784550
"CERRITO NITRE","BARRIO","019",255942.068350,1779460.186750
"CRUZ GRANDE","BARRIO","019",256288.321050,1778573.777650
"CRUZ GRANDE SEGUNDA SECCI�N","BARRIO","019",256321.796650,1778374.139200
"EL CALVARIO","BARRIO","019",255938.048150,1778626.120850
"LOS CEDROS","FRACCIONAMIENTO","019",256516.617550,1778823.695400
"EL CHUMIS","FRACCIONAMIENTO","019",255433.304350,1778233.229300
"GUADALUPE","BARRIO","019",255871.429250,1778641.295750
"JESUSITO","BARRIO","019",255813.773750,1778885.448450
"LA CUEVA","BARRIO","019",255786.102300,1778069.911250
"LA PILA","BARRIO","019",256266.100350,1778947.097900
"LA PILETA","BARRIO","019",255530.794450,1778894.329050
"MICROONDAS","BARRIO","019",255572.490150,1779184.838650
"PILITA SECA","BARRIO","019",256333.349050,1779241.641850
"PUENTE HIDALGO","BARRIO","019",255486.500250,1779199.377450
"SAN ANTONIO","BARRIO","019",256376.136800,1779033.694550
"SAN JOS�","BARRIO","019",255743.470650,1778781.330100
"SAN SEBASTI�N","BARRIO","019",255721.582200,1779106.335250
"SANTA CECILIA","BARRIO","019",255955.204800,1778208.171600
"BELISARIO DOM�NGUEZ","BARRIO","019",255203.766700,1779592.864200
"LA CHARRA","FRACCIONAMIENTO","019",254605.061750,1778716.231500
"EL BETEL","COLONIA","019",255384.676150,1779881.855650
"CENTRO","BARRIO","019",255892.714200,1778752.418250
"CERRITO CONCEPCI�N","BARRIO","019",255879.358350,1779564.914250
"LOS SABINOS SEGUNDA SECCI�N","COLONIA","019",254737.064650,1780584.141000
"COLINAS DEL SOL","COLONIA","019",254348.261450,1778911.788750
"27 DE JUNIO","COLONIA","019",256247.401100,1779663.802450
"PROVIDENCIA","FRACCIONAMIENTO","019",254845.763150,1777908.471650
"CRIST�BAL COL�N","BARRIO","019",255485.658150,1778522.933250
"CRUZ DE PAXTON","COLONIA","019",255248.288600,1777517.606250
"EL MIRADOR","BARRIO","019",256198.878150,1778129.840250
"EL ROSARIO","BARRIO","019",255130.482050,1777855.894150
"LAS JACARANDAS","BARRIO","019",255412.079650,1777979.025400
"EL JORD�N","FRACCIONAMIENTO","019",256342.400150,1779054.453550
"LATINOAMERICANO","FRACCIONAMIENTO","019",255067.507300,1778458.430050
"ISSSTECH","FRACCIONAMIENTO","019",254920.314350,1777862.903600
"SAN MART�N","BARRIO","019",255434.334250,1777660.688950
"SAN VICENTE BUENAVISTA","COLONIA","019",255134.123900,1777571.298750
"TEPEYAC","COLONIA","019",256514.407850,1778720.109550
"20 DE NOVIEMBRE PRIMERA SECCI�N","BARRIO","019",255566.301600,1777499.395300
"20 DE NOVIEMBRE SEGUNDA SECCI�N","BARRIO","019",255705.012800,1777427.454600
"CUMPATA","BARRIO","019",255042.478900,1778760.483650
"EL VEINTICINCO","BARRIO","019",255614.044250,1778618.228550
"28 DE AGOSTO","FRACCIONAMIENTO","019",254802.373100,1778313.000050
"BONAMPAK","FRACCIONAMIENTO","019",255759.559100,1779516.018550
"BOSQUES SEGUNDA SECCI�N","FRACCIONAMIENTO","019",255231.342250,1777759.667550
"EL CEDRO PRIMERA SECCI�N","FRACCIONAMIENTO","019",256535.144050,1778826.753150
"EL HERRAJE","FRACCIONAMIENTO","019",254767.918100,1778134.204550
"ESTELA MORALES","FRACCIONAMIENTO","019",255002.746500,1778359.039250
"FOVISSSTE","FRACCIONAMIENTO","019",254910.009950,1778281.257450
"EL JOCOTE","FRACCIONAMIENTO","019",256061.665850,1779436.531400
"LAS ORQU�DEAS","FRACCIONAMIENTO","019",255533.477650,1779027.812350
"LA LIBERTAD","FRACCIONAMIENTO","019",254834.075650,1778337.803350
"EL CAMPANARIO","FRACCIONAMIENTO","019",255131.917250,1778391.052000
"LOMAS DEL SUR","FRACCIONAMIENTO","019",255086.121000,1778268.669750
"LOS CIPRESES","FRACCIONAMIENTO","019",255685.437900,1779558.147850
"LOS MAGUEYES","FRACCIONAMIENTO","019",255672.197900,1779399.344650
"LOS OLIVOS","FRACCIONAMIENTO","019",256046.309850,1779316.556900
"PARA�SO COMITECO","FRACCIONAMIENTO","019",255692.771450,1779620.990850
