Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"1Ro De Mayo",16.2822425,-92.0309926,11.89,70,"1 de Mayo","Primero de Mayo","❌ FUERA_DE_COMITAN"
"1RO DE MAYO",16.232353,-92.125961,2.37,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"1ro. de Mayo",16.2822425,-92.0309926,11.89,70,"1 de Mayo","Primero de Mayo","❌ FUERA_DE_COMITAN"
"20 de Noviembre",16.2486411,-92.1585314,2.27,50,"Veinte de Noviembre","Comitán de Domínguez","✅ OK"
"20 De Noviembre",16.2486411,-92.1585314,2.27,50,"Veinte de Noviembre","Comitán de Domínguez","✅ OK"
"20 DE NOVIEMBRE",16.234575,-92.141283,1.83,45,"Primero de Mayo","Comitán de Domínguez","⚠️  SOSPECHOSA"
"20 de Noviembre 2a Sección",16.231036,-92.1316554,2.26,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","✅ OK"
"27 de Junio",16.2586586,-92.1125019,2.80,50,"Los Desamparados","Comitán de Domínguez","⚠️  SOSPECHOSA"
"27 De Junio",16.2586586,-92.1125019,2.80,50,"Los Desamparados","Comitán de Domínguez","⚠️  SOSPECHOSA"
"27 DE JUNIO",16.2586586,-92.1125019,2.80,50,"Los Desamparados","Comitán de Domínguez","⚠️  SOSPECHOSA"
"28 de Agosto",16.2337119,-92.1447176,2.03,50,"28 de Agosto","Comitán de Domínguez","✅ OK"
"28 De Agosto",16.2337119,-92.1447176,2.03,50,"28 de Agosto","Comitán de Domínguez","✅ OK"
"7 Esquinas",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"9 Estrellas",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Abelardo L. Rodríguez",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Ajayaxh",16.3093032,-92.1935453,8.86,70,"N/A","Ajayaxch","❌ FUERA_DE_COMITAN"
"Ampliación Bugambilias",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Arboledas",16.239174,-92.1165533,2.56,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"ARBOLEDAS",16.239174,-92.1165533,2.56,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Arenal",16.2393876,-92.1284535,1.57,45,"El Arenal","Comitán de Domínguez","✅ OK"
"ARENAL",16.2393876,-92.1284535,1.57,45,"El Arenal","Comitán de Domínguez","✅ OK"
"Barrio",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Barrio El 25",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"BARRIO EL 25",16.250113,-92.121589,1.69,45,"Bonampak","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Belisario",16.2443499,-92.1337627,0.80,45,"Puente Hidalgo","Comitán de Domínguez","⚠️  SOSPECHOSA"
"BELISARIO",16.2443499,-92.1337627,0.80,45,"Puente Hidalgo","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Belisario Dominguez",16.2443499,-92.1337627,0.80,45,"Puente Hidalgo","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Belisario Domínguez",16.2313205,-92.1266126,2.43,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","✅ OK"
"Bella Vista",16.2368261,-92.1600791,2.86,50,"Bosques de Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Bellavista",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"BELLAVISTA",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"Bethel",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"BETHEL",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Bonampak",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"BONAMPAK",16.2431301,-92.1217041,1.87,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Bosques",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"BOSQUES",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Bosques de Comitán",16.2379796,-92.1588384,2.68,50,"Bosques de Comitán","Comitán de Domínguez","✅ OK"
