Colonia/Barrio,CP,Calle
Aguasoftmx,30020,3a Avenida Poniente Sur
Autotransporte Frontera Carmen Xhan,N/A,Carretera Internacional a Huixtla
COC-Comitán,30000,Calle Sexta Sur Oriente
CONALEP,30068,11 PONIENTE SUR
Cafe Rosario,30029,1a Oriente Sur
Fraccionamiento Terrazas,30039,15A Sur Oriente
Hostal 5a avenida,N/A,5a Av. Norte Poniente
Hotel Nichim Ja,30000,Central Poniente (Lic. Benito Juarez)
Hotel Posada del angel,30020,4a Av. Poniente Sur
Hotel Renaciamento,N/A,Calle 2a Sur Poniente
Hôtel Lirice Colonial,N/A,Calle 6a Sur Oriente
INFORCE,30018,4a Avenida Oriente Sur #18
Jugos y Cocteles Isla del Carmen,30000,Calle 2a Sur Poniente
La comiteca,N/A,Avenida Central Sur
Lava ropa,N/A,34A Sur Oriente
MEGABYTE-PC,30068,7A. AVENIDA PONIENTE SUR
Red de Gestoras de Derechos de la Frontera Guatemala-México,N/A,3a Norte Oriente
