🚀 Geocodificando TODAS las colonias de Comitán con Mapbox...
📋 Asignando zonas automáticamente según el tabulador maestro
=================================================================
📌 Total a procesar: 255 colonias (169 del padrón + 86 de tu lista)

  🟢 [1/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [2/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [3/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [4/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [5/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [6/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [7/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [8/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [9/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [10/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [11/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [12/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [13/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [14/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [15/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [16/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [17/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [18/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [19/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [20/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [21/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [22/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [23/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [24/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [25/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [26/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [27/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [28/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [29/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [30/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [31/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [32/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [33/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [34/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [35/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [36/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [37/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [38/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [39/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [40/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [41/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [42/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [43/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [44/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [45/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [46/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [47/255] Barrio → VERDE $45 | 16.25058,-92.13736
  🟢 [48/255] Barrio → VERDE $45 | 16.25058,-92.13736
